Participant,Condition,Congruency,Alignment,answer,resp,isCorrect,RT
Subj01,CFS,incongruent,misaligned,different,0,1,365
Subj01,CFS,congruent,aligned,different,0,1,431
Subj01,CFS,congruent,misaligned,different,0,1,561
Subj01,CFS,congruent,aligned,same,1,1,501
Subj01,CFS,incongruent,aligned,same,1,1,376
Subj01,CFS,congruent,misaligned,different,0,1,631
Subj01,CFS,incongruent,misaligned,same,1,1,341
Subj01,CFS,congruent,aligned,same,0,0,612
Subj01,CFS,incongruent,aligned,same,1,1,396
Subj01,CFS,incongruent,aligned,same,1,1,425
Subj01,CFS,congruent,misaligned,same,1,1,496
Subj01,CFS,congruent,aligned,different,0,1,416
Subj01,CFS,incongruent,misaligned,same,1,1,346
Subj01,CFS,incongruent,misaligned,same,1,1,536
Subj01,CFS,incongruent,misaligned,same,1,1,396
Subj01,CFS,incongruent,misaligned,different,0,1,456
Subj01,CFS,incongruent,aligned,different,0,1,351
Subj01,CFS,incongruent,misaligned,same,1,1,351
Subj01,CFS,incongruent,misaligned,different,0,1,281
Subj01,CFS,incongruent,aligned,same,1,1,491
Subj01,CFS,incongruent,misaligned,different,0,1,621
Subj01,CFS,incongruent,aligned,different,0,1,381
Subj01,CFS,incongruent,aligned,different,0,1,411
Subj01,CFS,incongruent,aligned,different,0,1,601
Subj01,CFS,incongruent,misaligned,different,1,0,666
Subj01,CFS,incongruent,aligned,same,1,1,466
Subj01,CFS,congruent,aligned,same,1,1,351
Subj01,CFS,congruent,aligned,same,1,1,211
Subj01,CFS,incongruent,misaligned,different,1,0,521
Subj01,CFS,incongruent,aligned,different,1,0,496
Subj01,CFS,congruent,misaligned,different,1,0,341
Subj01,CFS,congruent,aligned,different,0,1,301
Subj01,CFS,incongruent,aligned,same,1,1,351
Subj01,CFS,congruent,aligned,same,1,1,351
Subj01,CFS,congruent,misaligned,same,1,1,331
Subj01,CFS,incongruent,misaligned,different,0,1,356
Subj01,CFS,incongruent,aligned,different,1,0,1011
Subj01,CFS,congruent,misaligned,different,0,1,375
Subj01,CFS,congruent,misaligned,different,0,1,291
Subj01,CFS,incongruent,misaligned,same,1,1,565
Subj01,CFS,congruent,misaligned,same,1,1,309
Subj01,CFS,congruent,misaligned,different,0,1,686
Subj01,CFS,congruent,aligned,same,1,1,401
Subj01,CFS,incongruent,aligned,same,1,1,251
Subj01,CFS,congruent,aligned,different,1,0,277
Subj01,CFS,congruent,misaligned,different,0,1,556
Subj01,CFS,incongruent,aligned,different,1,0,451
Subj01,CFS,congruent,aligned,same,1,1,305
Subj01,CFS,congruent,aligned,same,1,1,201
Subj01,CFS,congruent,aligned,different,1,0,416
Subj01,CFS,congruent,misaligned,different,0,1,421
Subj01,CFS,congruent,aligned,different,0,1,460
Subj01,CFS,incongruent,aligned,different,0,1,536
Subj01,CFS,incongruent,aligned,different,0,1,291
Subj01,CFS,congruent,misaligned,different,0,1,271
Subj01,CFS,incongruent,misaligned,different,0,1,386
Subj01,CFS,congruent,misaligned,same,1,1,336
Subj01,CFS,congruent,misaligned,different,0,1,261
Subj01,CFS,incongruent,aligned,different,0,1,256
Subj01,CFS,congruent,misaligned,different,1,0,371
Subj01,CFS,incongruent,misaligned,different,0,1,241
Subj01,CFS,incongruent,misaligned,different,0,1,346
Subj01,CFS,congruent,aligned,same,1,1,201
Subj01,CFS,congruent,misaligned,same,1,1,201
Subj01,CFS,congruent,aligned,same,1,1,441
Subj01,CFS,incongruent,aligned,different,0,1,236
Subj01,CFS,congruent,aligned,different,0,1,506
Subj01,CFS,incongruent,misaligned,different,1,0,281
Subj01,CFS,congruent,misaligned,same,1,1,441
Subj01,CFS,incongruent,aligned,different,0,1,266
Subj01,CFS,incongruent,misaligned,different,0,1,401
Subj01,CFS,incongruent,misaligned,same,1,1,456
Subj01,CFS,incongruent,misaligned,same,1,1,406
Subj01,CFS,congruent,aligned,same,1,1,381
Subj01,CFS,congruent,misaligned,different,1,0,216
Subj01,CFS,congruent,misaligned,different,0,1,335
Subj01,CFS,congruent,aligned,same,1,1,371
Subj01,CFS,incongruent,aligned,different,0,1,551
Subj01,CFS,incongruent,aligned,different,1,0,496
Subj01,CFS,congruent,aligned,different,0,1,276
Subj01,CFS,congruent,misaligned,different,0,1,205
Subj01,CFS,incongruent,aligned,same,1,1,361
Subj01,CFS,congruent,aligned,different,0,1,476
Subj01,CFS,congruent,aligned,same,1,1,296
Subj01,CFS,incongruent,aligned,different,0,1,296
Subj01,CFS,incongruent,misaligned,same,1,1,341
Subj01,CFS,congruent,misaligned,same,1,1,256
Subj01,CFS,incongruent,misaligned,different,0,1,451
Subj01,CFS,incongruent,misaligned,same,1,1,296
Subj01,CFS,incongruent,aligned,different,0,1,466
Subj01,CFS,congruent,aligned,different,0,1,381
Subj01,CFS,incongruent,misaligned,same,1,1,221
Subj01,CFS,congruent,misaligned,different,0,1,370
Subj01,CFS,incongruent,aligned,different,0,1,326
Subj01,CFS,incongruent,misaligned,different,1,0,445
Subj01,CFS,congruent,misaligned,same,1,1,281
Subj01,CFS,incongruent,aligned,same,1,1,221
Subj01,CFS,incongruent,misaligned,different,0,1,316
Subj01,CFS,congruent,aligned,different,0,1,336
Subj01,CFS,congruent,misaligned,same,1,1,271
Subj01,CFS,incongruent,misaligned,same,1,1,261
Subj01,CFS,congruent,aligned,same,1,1,201
Subj01,CFS,incongruent,aligned,different,0,1,271
Subj01,CFS,congruent,aligned,different,0,1,261
Subj01,CFS,congruent,misaligned,different,0,1,345
Subj01,CFS,incongruent,aligned,different,0,1,281
Subj01,CFS,incongruent,aligned,different,0,1,321
Subj01,CFS,congruent,aligned,same,1,1,390
Subj01,CFS,incongruent,misaligned,same,0,0,396
Subj01,CFS,incongruent,aligned,same,1,1,291
Subj01,CFS,incongruent,aligned,different,0,1,261
Subj01,CFS,incongruent,misaligned,same,1,1,341
Subj01,CFS,congruent,misaligned,different,0,1,286
Subj01,CFS,incongruent,aligned,same,1,1,536
Subj01,CFS,congruent,aligned,same,1,1,291
Subj01,CFS,congruent,misaligned,same,1,1,261
Subj01,CFS,incongruent,aligned,same,1,1,321
Subj01,CFS,congruent,aligned,different,0,1,340
Subj01,CFS,congruent,misaligned,different,1,0,346
Subj01,CFS,incongruent,misaligned,different,0,1,421
Subj01,CFS,congruent,misaligned,same,1,1,235
Subj01,CFS,incongruent,misaligned,same,1,1,291
Subj01,CFS,congruent,misaligned,same,1,1,311
Subj01,CFS,incongruent,aligned,same,1,1,206
Subj01,CFS,incongruent,misaligned,same,1,1,255
Subj01,CFS,incongruent,misaligned,same,1,1,201
Subj01,CFS,incongruent,aligned,different,0,1,266
Subj01,CFS,incongruent,misaligned,different,0,1,341
Subj01,CFS,incongruent,aligned,different,1,0,431
Subj01,CFS,congruent,misaligned,different,0,1,276
Subj01,CFS,incongruent,aligned,same,1,1,231
Subj01,CFS,congruent,aligned,different,0,1,396
